Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part Number
3V3,89.56,70.81,0,TPTP20R,TP20R,
BOOT_BUTTON,64,108.91,180,BUTTON_CUSYOMV1,MYBUTTON,
C1,157.66,6.42,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10,27.86,108.41,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10_SUPERCAP,94.43,50.51,270,CPH3225A,CAPCP3225X100N,
C1_BAT,116.94,49.6,180,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT1,118.53,36.43,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT2,130.85,39.09,270,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2,156.42,6.42,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2_BAT,127.79,55.01,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C3,127.57,38.32,270,100uF TANT,RCL_CT3528,
C4,96.29,32.9,90,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C4_USB,156.61,52.11,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C5,52.86,108.41,270,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C5_USB,148.27,50.02,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C6,68.32,108.41,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C7,76.28,27.07,270,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C8,92.31,59.66,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C9,6.83,100.92,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
CHANGE_BUTTON,24,108.91,180,BUTTON_CUSYOMV1,MYBUTTON,
CHG_LED,121.56,49.62,90,,ADAFRUIT_CHIP-LED0603,
C_DELAY,52.28,101.28,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
D1,153.49,49.92,0,USBLC6-2SC6Y,SOT95P280X145-6N,
D10,51.05,33.25,90,PGB1010603MR,DIOC1608X36N,
D11,49.09,33.2,90,PGB1010603MR,DIOC1608X36N,
D12,44.95,33.21,90,PGB1010603MR,DIOC1608X36N,
D2,117.73,39.61,90,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D3,92.03,28.73,0,MBR0530,SOD3716X135N,
D4,92.06,32.27,180,MBR0530,SOD3716X135N,
D5,83.56,35.45,180,MBR0530,SOD3716X135N,
D6,77.57,23.27,0,PGB1010603MR,DIOC1608X36N,
D7,87.37,62.94,0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D8,12.39,99.35,0,PGB1010603MR,DIOC1608X36N,
D9,36.63,48.01,90,PGB1010603MR,DIOC1608X36N,
EPD_3V3,111.48,13.52,0,TPTP20R,TP20R,
EPD_3V3_C,111.48,17.37,0,TPTP20R,TP20R,
EPD_BUSY,111.86,3.05,0,TPTP20R,TP20R,
EPD_C1,92.27,22.46,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C10,80.29,22.48,270,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C11,72.98,18.91,270,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C12,71.6,18.91,270,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C2,90.7,22.44,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C5,88.92,22.46,270,0.1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C6,87.17,22.43,270,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C7,85.41,22.43,270,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C8,83.67,22.48,270,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C9,81.98,22.51,270,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_CS,124.92,3.05,0,TPTP20R,TP20R,
EPD_DC,120.81,3.05,0,TPTP20R,TP20R,
EPD_RST,116.03,3.05,0,TPTP20R,TP20R,
GND,63.82,2.38,0,TPTP20R,TP20R,
GND_1,59.91,2.38,0,TPTP20R,TP20R,
IC1,49.33,100.95,0,BD5229G-TR,SOT95P280X125-5N,
IC4,122.39,39.49,0,XC6220A331MR-G,SOT95P280X120-5N,
INT_RTC,89.56,74.01,0,TPTP20R,TP20R,
J1,86.15,12.89,0,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99,
J2,165.93,54.3,90,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA,
J3,167.16,19.3,90,QWIIC_RIGHT_ANGLE,JST04_1MM_RA,
J4,8.28,88.78,270,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND,
L1,83.53,30.65,270,68uH,IND_4828-WE-TPC_WRE,
MISO,81.1,101.59,90,TPTP20R,TP20R,
MOSI,88.18,101.59,90,TPTP20R,TP20R,
PFMF.050.1,152.67,43.39,180,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812,
Q1,131.92,46.33,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q2,79.8,26.99,270,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q3,68.53,16.63,90,SI1308EDL-T1-GE3,SOT65P210X110-3N,
R1,19.24,41.95,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R10,8.88,100.92,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_BAT,121.48,48.32,0,200,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH,155.21,6.42,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH1,91.83,50.18,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PWRUSB,115.99,39.71,90,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2,69.63,12.04,90,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-PINH,153.99,6.42,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-PINH1,87.13,46.86,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB,154.14,47.32,180,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB1,154.13,46.06,0,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2_BAT,124.19,45.05,90,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R3,71.86,15.26,0,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R4,67.2,13.11,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R5,34.99,48,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R6,51.19,29.58,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R7,49.29,29.58,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R8,45.11,29.4,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R9,74.53,26.99,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
RESET_BUTTON,49,108.91,180,BUTTON_CUSYOMV1,MYBUTTON,
RX,2.85,71.8,0,TPTP20R,TP20R,
R_BOOT,59.95,108.41,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CAPACITOR,87.41,61.23,0,15,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CHANGE,20.31,108.41,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CL1,82.94,26.21,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_RESET,45.05,108.41,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
SCK,84.62,101.59,90,TPTP20R,TP20R,
SENSOR2,155.96,11.33,90,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N,
SJ1,66.66,11.04,0,,SJ,
TX,2.85,68.21,0,TPTP20R,TP20R,
U1,40.25,54.3,0,W25Q512JVEIQ,SON127P600X800X80-9N,
U2,16.04,54.3,90,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8,
U3,84.21,54.3,270,DS3231SN#,SOIC127P1032X265-16N,
U4,135.22,53.31,0,MAX17048G+T10,SON50P200X200X80-9N,
U5,125.49,48.82,90,MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5,
VBAT,127.63,64.19,0,TPTP20R,TP20R,
VBUS,124.36,64.18,0,TPTP20R,TP20R,
